Age,Salary,Experience,Performance_Score,Gender,Department,Hired,Hiring_Date,Location
41.0,68257,22 years,4,Male,,Y,2018-05-24,
19.0,42814,0 years,5,Male,Engineering,Y,2021-06-30,Austin
36.0,92697,12 years,2,,,Yes,2012-05-17,Austin
49.0,34419,22 years,1,F,Sales,Yes,,
24.0,37068,2 years,5,Male,Sales,Y,2022-02-17,Seattle
30.0,49898,12 years,3,Male,,Yes,2016-03-10,
60.0,93884,35 years,9,F,HR,No,2019-08-05,
25.0,46503,1 years,2,Male,Sales,Y,2016-06-16,Boston
26.0,63243,3 years,7,F,Sales,No,2015-05-15,Austin
45.0,48040,26 years,5,Female,Engineering,Y,,Boston
56.0,57221,36 years,6,M,Sales,Yes,2017-09-19,Austin
32.0,37388,11 years,4,,Engineering,Y,2023-08-31,
21.0,25000,,8,F,Marketing,,2017-01-04,New York
41.0,57555,23 years,6,Female,,Y,,Austin
44.0,82222,24 years,5,F,HR,N,2021-04-23,Seattle
53.0,80562,28 years,4,Female,Sales,Y,2010-07-27,Seattle
42.0,49260,19 years,1,Female,HR,Yes,2021-11-24,New York
36.0,59988,10 years,4,F,,No,2021-03-16,New York
30.0,25000,12 years,7,Female,Engineering,Yes,2020-05-26,Austin
30.0,25000,12 years,1,,Marketing,Y,2021-04-04,
54.0,61679,28 years,3,Male,Marketing,Yes,2014-11-25,Seattle
18.0,40307,0 years,8,Male,Marketing,Y,2020-11-27,New York
42.0,44006,16 years,5,,,Y,2014-10-12,
30.0,55020,8 years,5,M,HR,N,2022-12-22,New York
50.0,82153,27 years,3,,,,2014-03-24,Boston
37.0,63932,22 years,10,,,,2017-03-25,Boston
29.0,44184,6 years,1,Male,HR,,2013-04-14,Boston
38.0,66387,13 years,9,,Sales,No,2012-07-19,Boston
26.0,44511,2 years,7,F,,Y,2015-08-18,Boston
33.0,54174,,6,Male,Marketing,Yes,2012-04-07,Boston
35.0,56314,5 years,5,M,Engineering,Y,2017-09-08,Boston
35.0,41479,7 years,9,,Marketing,Yes,2021-06-09,Austin
43.0,87659,24 years,9,Female,Sales,No,2014-11-01,Seattle
47.0,79301,22 years,3,F,Marketing,No,2021-12-09,Boston
42.0,64738,20 years,7,M,,Y,2012-09-14,Seattle
48.0,63709,28 years,10,,Marketing,N,2020-10-27,Austin
32.0,65481,7 years,3,M,Engineering,Y,,New York
29.0,30119,6 years,3,M,Marketing,No,2014-04-19,Boston
24.0,34013,5 years,10,Male,Engineering,N,2014-06-27,Seattle
25.0,54743,3 years,5,M,Marketing,Y,2018-05-02,Seattle
22.0,25000,0 years,5,,Marketing,,2017-06-09,New York
29.0,32200,8 years,6,Male,Engineering,N,2022-04-18,
18.0,32277,0 years,4,Female,HR,Y,2010-02-22,
29.0,78209,,3,F,Marketing,Y,2010-09-12,Seattle
42.0,57419,16 years,9,F,Sales,Y,2014-03-19,New York
36.0,37111,15 years,7,Female,Sales,,2023-11-03,New York
29.0,51132,9 years,5,Male,Sales,Y,2011-12-11,New York
29.0,25000,9 years,1,M,Engineering,Y,2010-06-05,Seattle
56.0,60912,28 years,4,Male,Marketing,N,2010-10-02,Boston
43.0,73532,21 years,6,Female,Marketing,Yes,2015-07-07,
45.0,70865,25 years,10,Male,Marketing,Y,2011-04-15,Boston
35.0,58950,,9,F,HR,Yes,,
23.0,46931,0 years,4,Female,Engineering,Y,2013-06-16,Boston
49.0,47476,22 years,1,Female,,N,2021-01-09,
41.0,42114,20 years,1,Female,,N,2012-04-21,Austin
31.0,25000,3 years,5,,,Yes,,
47.0,45731,25 years,5,,,,2022-10-28,
27.0,35493,8 years,6,Male,,No,2018-02-11,Seattle
33.0,56813,19 years,5,Male,HR,,2017-11-16,Boston
25.0,33700,4 years,3,,Engineering,No,2022-04-23,Boston
26.0,28238,7 years,9,Female,HR,Y,2023-10-21,
34.0,51266,16 years,10,Male,HR,Yes,2015-08-15,New York
43.0,25000,18 years,1,,Engineering,No,2013-05-18,Austin
43.0,55819,18 years,8,F,,Yes,2011-07-01,New York
26.0,40484,6 years,9,F,,Y,2015-12-13,Austin
37.0,62529,14 years,9,F,Engineering,Yes,2021-11-03,New York
18.0,37841,0 years,9,F,Engineering,N,2015-03-23,New York
40.0,70051,20 years,9,M,Sales,,2023-09-10,Austin
34.0,47230,12 years,3,F,Engineering,,,New York
18.0,25000,0 years,3,Female,HR,,2018-01-17,New York
29.0,37084,9 years,1,F,Engineering,Y,2015-10-18,New York
42.0,25000,24 years,6,Female,Engineering,,2013-02-07,New York
36.0,45611,16 years,9,Female,,Yes,2013-01-03,Austin
18.0,38407,0 years,9,F,Sales,Y,,New York
38.0,37065,18 years,1,Female,Engineering,No,2019-09-19,New York
48.0,71249,26 years,3,Female,HR,No,2010-10-13,Austin
33.0,66804,11 years,10,,HR,Yes,2018-11-05,New York
47.0,50198,26 years,2,Male,,No,2017-03-16,
37.0,67493,16 years,3,Male,HR,N,2018-09-01,New York
50.0,65717,22 years,4,,Engineering,No,2017-06-05,Austin
39.0,61770,16 years,5,,HR,No,2014-11-23,New York
33.0,25000,8 years,8,Male,Marketing,Yes,2019-10-13,Seattle
24.0,30711,4 years,3,Male,HR,,,
18.0,25888,0 years,4,Male,Marketing,Y,2010-04-16,
34.0,39199,,3,F,HR,N,2020-02-18,New York
38.0,25000,15 years,4,Male,Engineering,Yes,2016-08-26,Boston
,32070,7 years,4,M,HR,Yes,2021-09-08,Austin
37.0,62601,13 years,3,Female,Engineering,Yes,2022-12-10,
55.0,96071,33 years,9,,Sales,Y,2022-03-08,Seattle
50.0,47392,31 years,5,,,Y,2023-04-04,Boston
,61192,14 years,5,M,,Y,2011-04-28,
36.0,56894,11 years,2,F,HR,,2023-03-10,Seattle
24.0,25000,1 years,5,Female,,,2010-10-31,Seattle
40.0,48070,13 years,10,F,Sales,,2016-10-16,New York
18.0,50783,0 years,7,Male,Sales,,2016-11-25,
34.0,25000,14 years,7,Male,,Yes,2022-03-08,Seattle
23.0,33775,0 years,10,M,HR,Y,2019-02-09,Boston
21.0,44421,0 years,8,,Sales,Y,,Seattle
18.0,32284,0 years,1,M,Engineering,Yes,2022-06-24,New York
46.0,30988,30 years,6,F,Marketing,Yes,2019-03-11,
19.0,25000,0 years,2,M,Engineering,Yes,2019-12-31,Boston
28.0,43836,11 years,10,F,Sales,Yes,2011-08-08,Austin
29.0,30983,2 years,3,Male,Engineering,,2020-05-30,New York
46.0,74679,24 years,1,,Engineering,Y,2015-06-21,
42.0,67188,,10,M,Engineering,No,2018-10-20,Boston
62.0,114927,34 years,3,Female,Marketing,Y,2021-04-03,Boston
43.0,47408,,7,Male,,Yes,2020-06-03,New York
35.0,58200,9 years,1,M,Sales,Yes,2016-09-19,
21.0,28031,0 years,2,,Marketing,,2014-01-26,New York
45.0,48756,24 years,6,F,Sales,No,2011-01-05,Boston
37.0,42784,13 years,2,,Engineering,Yes,2022-12-02,Boston
50.0,69009,27 years,3,Female,Sales,Y,2022-06-11,
37.0,49932,15 years,9,Male,,,2011-03-19,New York
55.0,87133,33 years,8,F,Marketing,,2019-02-06,Seattle
25.0,31676,0 years,8,Female,HR,,2022-01-03,Seattle
34.0,29355,9 years,4,Female,Engineering,Yes,2013-05-05,Boston
35.0,50233,5 years,10,M,Sales,Y,2012-06-26,New York
19.0,31648,0 years,7,,,Yes,2014-09-12,Seattle
32.0,51620,7 years,10,Female,Sales,No,2015-11-07,Seattle
62.0,100001,39 years,4,F,Sales,,2018-09-11,Austin
27.0,37174,6 years,10,Male,Engineering,Y,2020-10-18,Boston
44.0,35009,19 years,1,Female,Sales,Yes,2010-04-09,Boston
43.0,59235,22 years,2,M,Marketing,N,2018-06-26,Austin
56.0,94161,31 years,9,Male,,N,2023-10-23,New York
26.0,48449,4 years,10,F,Marketing,Yes,2016-03-14,
52.0,56300,29 years,2,Male,Sales,Y,,Seattle
18.0,25000,0 years,4,,Engineering,,2015-11-06,Seattle
31.0,62584,10 years,4,Male,,,2016-09-01,Boston
36.0,35233,,1,,Sales,,2011-08-08,Boston
32.0,48735,11 years,10,,,Yes,2020-08-04,Austin
42.0,60814,23 years,6,Female,HR,Yes,2019-08-28,
39.0,54772,15 years,3,Male,Marketing,Y,2020-02-20,New York
36.0,46949,10 years,2,,Engineering,,2013-11-30,Boston
35.0,51229,10 years,8,Female,Engineering,Y,2012-03-18,Boston
30.0,53348,11 years,6,Male,,Yes,2011-06-28,Seattle
42.0,59852,22 years,9,F,Sales,Y,2010-09-10,New York
22.0,48132,3 years,2,,Marketing,Y,2017-08-15,New York
41.0,32372,16 years,4,,Marketing,,2022-11-30,Seattle
37.0,66444,18 years,2,Male,HR,Yes,2018-08-28,
24.0,25000,6 years,7,F,Sales,,2011-10-18,Austin
24.0,46153,5 years,2,M,,Y,2023-01-02,
44.0,68524,18 years,6,Male,,Y,,Boston
20.0,25000,0 years,10,,Engineering,Yes,2014-07-26,
27.0,53578,3 years,9,,Engineering,Yes,2019-06-19,Boston
50.0,83474,29 years,4,,,Yes,2018-02-04,New York
32.0,71015,9 years,1,Male,HR,Y,2015-03-13,New York
45.0,56613,17 years,2,F,Marketing,No,2010-08-09,Boston
29.0,32370,11 years,8,Female,Marketing,Y,2023-04-14,Seattle
36.0,51992,10 years,7,,HR,Yes,2021-08-28,Seattle
45.0,74775,24 years,10,,,N,2020-11-11,Austin
41.0,28698,21 years,6,Female,Marketing,Yes,2013-03-19,New York
37.0,71675,16 years,4,Male,Sales,,2011-04-21,Boston
35.0,44532,9 years,7,Male,Engineering,N,2016-05-24,Seattle
26.0,66789,0 years,10,Female,Sales,Y,2020-05-13,New York
42.0,50502,18 years,8,Male,HR,Yes,2015-04-17,
37.0,35839,16 years,10,Male,,,2014-02-23,
39.0,27571,14 years,10,Female,Engineering,Yes,2011-08-14,Seattle
21.0,29598,0 years,5,Female,Marketing,Y,2011-12-19,
23.0,41368,1 years,7,F,,No,2011-10-06,Austin
43.0,80661,19 years,7,M,Sales,Yes,2015-04-04,Seattle
28.0,34387,3 years,6,Male,Sales,Y,,New York
44.0,56512,24 years,2,M,Marketing,,2012-06-03,Boston
37.0,67247,17 years,10,Male,,No,2014-12-03,
32.0,43968,7 years,1,Male,Marketing,Yes,2023-06-21,New York
23.0,35596,,4,Male,Sales,Y,2017-01-24,
18.0,25000,0 years,5,Male,Engineering,No,,New York
34.0,30117,13 years,1,M,HR,Y,2010-02-11,
40.0,55217,12 years,3,,HR,,2021-10-03,Austin
35.0,63540,16 years,3,,HR,,2021-11-01,Austin
52.0,61492,30 years,2,F,HR,Y,2014-12-23,Austin
18.0,25000,0 years,2,M,HR,Y,2022-11-02,Austin
,60271,0 years,4,Female,HR,Yes,2018-01-06,Seattle
58.0,64578,30 years,5,Female,Sales,Y,2021-01-22,Seattle
28.0,36837,6 years,7,,,,2016-09-14,
39.0,52557,19 years,8,M,HR,N,2013-01-16,New York
36.0,27881,9 years,1,F,Sales,No,2016-03-22,Boston
26.0,38437,3 years,7,M,HR,No,,Boston
47.0,51707,30 years,1,,,Yes,2022-03-18,New York
18.0,31941,0 years,3,Female,HR,Y,2022-05-27,New York
32.0,53108,10 years,9,Female,HR,Yes,2021-02-21,New York
53.0,72868,29 years,10,M,HR,Y,2014-09-17,
38.0,54118,19 years,1,M,Engineering,Y,2011-01-26,
26.0,61026,4 years,6,F,Engineering,Y,,Austin
20.0,56406,2 years,5,Female,Sales,,,Seattle
38.0,47662,15 years,9,,Marketing,,2011-02-06,
34.0,25693,10 years,7,M,HR,,2022-10-01,New York
35.0,52919,9 years,6,Female,Marketing,Yes,,New York
29.0,47204,7 years,10,Female,Marketing,Yes,2010-09-24,Seattle
20.0,25000,0 years,6,M,Marketing,N,2020-03-21,Austin
22.0,64028,2 years,6,M,Engineering,Yes,2020-03-05,Seattle
48.0,82389,22 years,2,F,Sales,No,2021-08-27,New York
37.0,48645,16 years,4,M,Marketing,Yes,2020-12-10,Seattle
39.0,53282,13 years,2,F,Marketing,N,2018-03-30,Boston
39.0,56246,10 years,8,Female,Engineering,Y,2020-03-24,Seattle
32.0,36631,2 years,4,M,Marketing,Yes,2019-01-27,New York
40.0,69860,16 years,2,Male,Engineering,Yes,2019-04-15,
34.0,25000,14 years,2,Male,Sales,No,2020-12-12,Austin
55.0,57660,37 years,10,Female,Marketing,Yes,2019-11-13,Boston
37.0,25000,20 years,6,Female,Marketing,Yes,2022-11-05,Austin
36.0,55377,14 years,7,,,Y,2018-09-02,Boston
35.0,50251,10 years,9,F,,No,2021-03-20,
45.0,86587,15 years,1,,,,2022-10-27,New York
41.0,49956,17 years,10,,Engineering,N,2023-08-12,New York
27.0,50273,3 years,1,Female,HR,Yes,2013-04-29,
43.0,25000,20 years,2,F,Engineering,Yes,2019-01-30,New York
40.0,56741,18 years,10,Male,Marketing,N,2014-04-07,Boston
49.0,52310,24 years,2,Female,HR,,2022-07-08,
31.0,25000,7 years,7,,Sales,No,2010-12-22,Austin
54.0,45028,27 years,7,Male,Engineering,Yes,2022-08-11,Seattle
32.0,50401,11 years,8,F,Sales,N,2021-10-30,Austin
41.0,29401,17 years,8,M,Engineering,,2012-12-30,Austin
25.0,25000,8 years,5,,HR,Y,2019-09-11,Austin
30.0,61034,11 years,6,F,Sales,No,2010-10-29,
45.0,74836,28 years,9,,Marketing,Y,2013-06-08,Austin
58.0,86242,37 years,3,Male,,,2023-02-23,Austin
47.0,52056,26 years,4,Female,HR,Yes,2016-06-09,Austin
46.0,36181,17 years,3,F,HR,N,,
39.0,52935,15 years,2,M,,Y,2017-08-19,Seattle
25.0,42316,2 years,4,,HR,No,2014-08-08,Austin
51.0,48733,25 years,8,M,Sales,Yes,2010-09-22,Austin
54.0,69405,32 years,4,Male,Marketing,,2010-12-10,
35.0,42103,12 years,9,M,,Y,2011-03-23,Seattle
36.0,25000,6 years,5,F,HR,Y,2020-05-02,
51.0,71751,30 years,7,M,Engineering,,2019-07-04,Seattle
35.0,50409,12 years,7,F,Sales,,2020-09-05,
32.0,31997,8 years,10,Male,,,2010-04-25,Boston
38.0,43781,15 years,3,Female,,Yes,2016-03-22,New York
40.0,31112,20 years,10,Female,Sales,Yes,2018-09-18,Austin
48.0,82519,25 years,6,Female,Marketing,,2021-12-17,New York
36.0,48961,17 years,10,F,Engineering,Yes,2023-10-05,
24.0,54938,1 years,2,,Sales,Yes,,
49.0,68906,,3,M,Sales,,2020-03-11,Austin
44.0,33802,22 years,8,Female,,N,2018-12-27,Austin
21.0,33630,3 years,4,F,Sales,,2018-01-30,New York
52.0,59453,32 years,3,M,HR,Y,2017-05-10,Austin
40.0,46184,16 years,3,F,Engineering,No,2013-03-23,Seattle
41.0,33850,17 years,4,Female,Sales,,2023-08-29,
30.0,48894,11 years,1,Female,Engineering,,,Austin
33.0,62855,13 years,2,,Marketing,Yes,2018-08-19,Boston
39.0,68774,16 years,8,F,Sales,Y,2013-05-29,
21.0,38014,0 years,8,,Engineering,No,2016-11-26,New York
28.0,35415,8 years,5,Female,Sales,No,2017-10-08,
52.0,58107,26 years,8,Female,HR,Y,2020-04-02,Boston
23.0,38994,3 years,1,Male,Marketing,Yes,2017-11-23,New York
39.0,75792,20 years,3,Male,,,2021-12-09,Austin
46.0,59238,20 years,2,Male,Sales,Yes,2022-09-12,New York
43.0,70169,17 years,1,M,Sales,No,,Boston
31.0,40400,10 years,4,Female,Sales,Y,2018-07-25,New York
21.0,46526,0 years,9,Male,,,2016-01-11,
45.0,83208,20 years,1,,HR,Y,2013-02-12,New York
33.0,30483,10 years,2,Female,Sales,No,2015-05-27,Boston
32.0,64389,13 years,1,Female,Marketing,Yes,2015-03-21,New York
35.0,53595,13 years,10,,,Yes,2021-05-03,
44.0,53566,22 years,10,Female,HR,N,,
29.0,53875,9 years,4,M,Engineering,,2017-09-08,
33.0,25000,7 years,1,M,Sales,Y,2014-05-24,
20.0,44215,0 years,8,,Engineering,Y,2021-04-27,New York
42.0,68198,,4,Female,,Y,2017-11-09,Seattle
28.0,66876,8 years,1,Female,Sales,Y,2022-02-08,Seattle
23.0,40280,0 years,2,Female,Marketing,Yes,2016-01-14,Austin
25.0,26506,6 years,9,Male,Engineering,,,Austin
36.0,57631,17 years,8,Female,,No,2012-01-04,Austin
37.0,53637,19 years,9,M,Marketing,Y,2019-03-09,Boston
44.0,39333,25 years,2,Female,,,2019-05-01,Boston
28.0,36237,0 years,4,Female,Engineering,No,2015-06-25,
27.0,25000,3 years,5,Male,Engineering,Y,,Austin
40.0,50601,26 years,2,Male,Marketing,Y,,New York
23.0,25000,1 years,4,Male,HR,No,2021-09-22,Boston
50.0,52782,28 years,7,Male,Sales,,2014-11-03,Austin
33.0,57796,13 years,6,Female,Engineering,,2012-05-15,Seattle
35.0,51898,18 years,2,M,,No,2021-07-30,
49.0,35768,23 years,9,M,Engineering,Y,2022-07-10,Boston
35.0,43568,11 years,7,M,,No,2015-07-27,New York
27.0,25000,5 years,10,Female,HR,Y,2023-04-14,New York
34.0,37344,11 years,5,Male,HR,Y,2020-02-02,Boston
38.0,63075,15 years,5,F,HR,,2015-09-04,
40.0,32087,15 years,10,F,Marketing,N,2020-01-04,Seattle
,51345,12 years,3,Female,Marketing,Y,2012-10-08,Austin
18.0,25000,0 years,10,,HR,,2019-02-17,Boston
33.0,36169,9 years,2,Female,Sales,Y,2021-02-05,Austin
39.0,70828,10 years,9,F,Marketing,Y,2012-05-01,Boston
34.0,39478,14 years,9,Female,Engineering,,2013-06-27,Boston
31.0,26377,5 years,1,M,Marketing,,2020-04-08,New York
41.0,64626,23 years,8,Female,HR,Y,2013-11-25,New York
18.0,26563,0 years,4,Male,Sales,Yes,2015-12-21,Seattle
38.0,74525,12 years,10,,Engineering,Y,2013-07-14,Austin
45.0,60456,22 years,7,Female,HR,Yes,2011-06-23,Seattle
26.0,41353,9 years,6,,Engineering,Y,2012-02-18,Austin
44.0,96512,22 years,6,Female,Engineering,,2015-09-02,Austin
29.0,25000,2 years,7,Male,Marketing,Y,2011-07-10,
32.0,46475,9 years,9,F,Engineering,N,2014-07-02,Austin
31.0,43193,10 years,8,M,Marketing,N,2020-08-06,Austin
38.0,27892,14 years,10,Female,Marketing,Yes,2012-06-28,Austin
53.0,61959,31 years,1,M,Marketing,No,,Austin
24.0,25000,5 years,10,,Engineering,No,2011-06-22,Seattle
21.0,28800,1 years,8,Female,,Yes,,Boston
27.0,35661,4 years,7,Male,Engineering,No,2022-04-30,
32.0,55234,,6,Female,Sales,,2015-06-14,New York
26.0,43408,8 years,8,F,Engineering,Yes,2014-02-25,Boston
25.0,31814,0 years,5,,Engineering,,,Seattle
36.0,50189,11 years,1,M,Engineering,,2022-01-16,Boston
41.0,52453,,3,Male,Sales,Y,2020-02-02,New York
36.0,25000,15 years,7,F,,Yes,2023-07-20,Austin
33.0,25000,14 years,5,Male,Sales,,2021-01-17,New York
23.0,30227,0 years,7,M,Engineering,No,2019-03-02,Boston
19.0,25000,0 years,7,Male,Sales,Yes,2016-07-18,Austin
29.0,32082,12 years,6,M,HR,Yes,2016-10-14,Austin
31.0,73044,9 years,7,Male,,Yes,2019-11-28,Austin
22.0,25000,2 years,10,Male,Engineering,,2013-05-10,New York
23.0,38930,2 years,7,,,,2023-04-13,New York
39.0,25000,17 years,10,Male,Engineering,Y,,New York
42.0,51600,14 years,6,F,HR,Y,2020-10-06,
35.0,33764,8 years,2,Male,Sales,,2021-02-28,Seattle
52.0,53018,30 years,3,Female,,N,2012-04-11,
38.0,63334,14 years,9,,Marketing,Y,2022-03-04,Austin
39.0,68887,22 years,6,F,,No,2020-09-06,New York
30.0,61136,13 years,8,Male,Engineering,,2010-05-14,
42.0,38378,21 years,6,Female,Marketing,Yes,2021-12-13,Austin
18.0,25000,0 years,4,F,Engineering,,2017-02-23,
31.0,33398,7 years,4,,,Y,,Austin
20.0,36359,0 years,4,M,Marketing,Yes,2020-06-10,Seattle
51.0,66377,32 years,9,M,HR,Yes,2016-12-31,Seattle
39.0,62759,14 years,4,,,Yes,,New York
52.0,59381,27 years,8,,Marketing,,,
58.0,54384,,4,Female,,Yes,2011-11-30,Austin
33.0,45998,16 years,7,,,Y,2019-06-05,
30.0,67094,0 years,6,F,HR,No,2022-10-30,
28.0,45014,2 years,9,M,Engineering,Y,2019-04-17,New York
18.0,34786,0 years,6,M,Engineering,Y,2017-07-17,New York
47.0,71690,27 years,8,Male,HR,No,,Austin
45.0,39417,24 years,4,Female,HR,,2021-08-18,Austin
47.0,63944,23 years,6,Male,HR,No,2013-03-06,New York
41.0,45299,19 years,3,,,Y,2012-04-28,Austin
40.0,67628,18 years,10,Male,Engineering,N,2011-07-06,Austin
32.0,57992,6 years,4,Male,,,2012-07-10,
37.0,64252,16 years,8,Male,,Yes,2016-07-08,Boston
37.0,93178,15 years,7,,HR,Yes,2010-05-15,Boston
23.0,25000,1 years,8,,HR,Yes,2016-03-15,Seattle
48.0,74052,23 years,5,F,HR,Yes,2019-11-05,Austin
49.0,73283,27 years,7,Male,Marketing,No,,Seattle
23.0,25000,1 years,3,Male,HR,N,2020-09-04,New York
39.0,25000,12 years,1,Male,HR,No,2016-10-16,Boston
47.0,86219,27 years,7,Male,HR,No,2021-09-22,Austin
32.0,36204,7 years,1,Female,,N,2018-06-20,
39.0,45273,13 years,2,Male,Marketing,N,2019-10-30,New York
36.0,44576,10 years,3,Female,HR,Y,2015-11-10,Seattle
32.0,69138,9 years,9,F,Engineering,Yes,2011-01-07,Boston
32.0,25000,10 years,2,Male,Sales,Y,2012-08-01,
47.0,33347,23 years,1,Female,,No,2022-09-14,Boston
18.0,25799,0 years,2,Female,Marketing,Y,2015-11-28,
47.0,36756,20 years,6,F,HR,Yes,2016-11-29,Seattle
18.0,44969,0 years,4,Female,Sales,Y,2018-12-28,
19.0,31257,0 years,7,,Sales,Y,2011-07-08,Austin
37.0,71168,17 years,9,Female,HR,Yes,2019-04-11,Boston
26.0,26389,0 years,2,Female,Marketing,,2010-11-30,Seattle
40.0,55692,12 years,4,F,Engineering,,2013-02-20,
37.0,47573,12 years,7,,Sales,Yes,2010-09-02,Boston
51.0,78796,28 years,9,Female,Marketing,,2022-09-28,Boston
25.0,25673,3 years,10,,Marketing,,,New York
20.0,25000,0 years,7,F,Marketing,Yes,2018-12-01,
19.0,25000,0 years,9,M,,,,Boston
,72613,8 years,8,M,,Yes,2013-02-22,Seattle
37.0,34155,9 years,1,F,HR,Y,2013-01-29,Austin
42.0,61847,13 years,7,,HR,Yes,,Boston
41.0,62378,17 years,10,Male,HR,N,2013-07-18,New York
48.0,60249,29 years,5,,HR,Yes,2011-11-18,New York
25.0,25000,7 years,8,,HR,Yes,2013-04-07,
19.0,60416,0 years,8,M,,Yes,2013-08-20,New York
48.0,37230,25 years,1,Female,HR,Yes,2013-06-14,Austin
34.0,67599,10 years,7,Male,Sales,Yes,2016-10-02,New York
29.0,63931,2 years,3,Female,,,,New York
35.0,47946,11 years,6,,,N,2013-08-06,Seattle
26.0,50819,2 years,6,,,No,2021-04-05,Austin
49.0,65123,25 years,4,Female,Engineering,Y,2014-02-11,New York
39.0,48816,14 years,4,Male,Sales,,2012-02-14,Austin
35.0,63680,10 years,10,,HR,Yes,2011-07-09,Seattle
42.0,69262,17 years,3,,,,2018-04-09,Austin
37.0,29605,15 years,2,F,HR,No,2019-05-05,New York
23.0,25000,2 years,3,Male,HR,,2019-09-21,Seattle
41.0,29584,17 years,10,Male,,No,2010-08-25,New York
46.0,72941,27 years,3,Female,Sales,,2012-05-03,New York
43.0,71893,21 years,3,M,Sales,Yes,2020-01-25,
51.0,57900,29 years,2,M,HR,Yes,2014-04-04,Seattle
33.0,26114,16 years,3,Male,Sales,Yes,2012-10-04,Boston
37.0,32065,12 years,10,Female,,Yes,,Boston
36.0,46707,13 years,8,Male,HR,Y,,Boston
47.0,66695,22 years,8,Male,Marketing,,2011-07-25,New York
31.0,39766,9 years,5,Female,Marketing,N,2021-03-01,New York
24.0,41430,0 years,1,Male,Marketing,No,2012-04-07,
22.0,25000,0 years,2,,Engineering,Y,2021-08-06,Boston
48.0,66562,24 years,4,,HR,Y,2012-09-21,Boston
,44278,9 years,4,F,,,2014-06-19,Boston
30.0,54147,7 years,6,,,Y,2016-12-17,Seattle
39.0,44621,18 years,1,Female,Marketing,,2015-08-03,Boston
18.0,33261,0 years,3,Male,Engineering,No,2023-01-22,Boston
50.0,80427,25 years,8,Female,Sales,Yes,2013-05-07,
38.0,59971,18 years,5,F,Marketing,,2017-09-26,
23.0,25000,0 years,5,,HR,Yes,2014-10-25,Seattle
33.0,47960,15 years,4,M,HR,Yes,2022-04-14,New York
41.0,28533,21 years,1,Female,Sales,,2011-02-15,Austin
25.0,25349,5 years,8,F,Marketing,,,Austin
35.0,59318,9 years,3,Female,Marketing,,,Seattle
33.0,36249,11 years,6,Male,HR,Y,2018-08-04,New York
35.0,44186,13 years,3,,Marketing,No,2011-04-05,
46.0,52797,28 years,9,,Engineering,Yes,2012-03-03,Austin
32.0,66094,12 years,10,Female,HR,Y,2015-10-03,
33.0,50789,10 years,8,,Sales,No,2013-01-19,
34.0,27693,12 years,6,,Engineering,No,2016-01-12,
39.0,35000,23 years,6,Male,,No,2013-07-17,Boston
21.0,41491,1 years,8,Female,Marketing,No,2012-09-26,Austin
47.0,65892,23 years,10,Male,,Yes,2021-03-23,Boston
21.0,27677,4 years,3,,HR,N,,Boston
38.0,62902,13 years,1,M,Sales,,2012-12-13,New York
33.0,25000,9 years,7,Female,Engineering,Yes,2019-05-01,New York
24.0,43094,1 years,9,Female,HR,Yes,2017-09-16,Seattle
44.0,71446,20 years,8,M,,Y,,New York
28.0,36289,2 years,7,,,Y,2017-07-12,
21.0,26091,1 years,10,,,Y,2018-05-19,New York
42.0,34310,18 years,4,M,,Y,2019-12-19,New York
53.0,63578,33 years,6,Male,Sales,Yes,,Austin
61.0,76394,36 years,4,Female,Marketing,Yes,,New York
35.0,27021,13 years,3,M,,Y,2020-03-19,Boston
30.0,68518,11 years,10,F,Marketing,N,2021-08-23,Seattle
60.0,84732,34 years,2,,HR,,2019-01-22,
26.0,32597,6 years,3,,,No,2019-09-24,Seattle
25.0,31601,4 years,10,,HR,Y,,Boston
53.0,52329,35 years,5,Male,HR,Y,2012-11-10,New York
47.0,71570,22 years,8,Female,Sales,Y,2011-10-07,New York
58.0,57576,36 years,3,Male,Marketing,Yes,2010-07-11,Seattle
32.0,25000,11 years,1,,Sales,,2014-07-26,Seattle
29.0,34477,7 years,10,Female,,Yes,2014-10-29,
20.0,32240,0 years,1,Female,Sales,Y,2015-05-23,New York
26.0,32136,4 years,5,,Marketing,Y,2023-04-14,
33.0,25000,7 years,7,Female,,No,2017-05-05,
44.0,53039,22 years,9,M,,N,,New York
34.0,45863,14 years,5,Male,Engineering,,,Boston
51.0,78488,25 years,7,Male,Marketing,No,2013-07-15,Seattle
38.0,97798,22 years,7,Male,Engineering,No,2022-05-19,Austin
55.0,74528,35 years,3,Female,Engineering,Yes,2012-01-10,New York
36.0,28369,15 years,8,Male,Sales,No,2018-12-27,Seattle
37.0,56742,18 years,2,,,,2016-06-20,Boston
33.0,78281,8 years,3,Male,Sales,N,2021-04-23,Austin
29.0,30788,3 years,8,Female,Engineering,N,,
18.0,39940,0 years,9,Female,Engineering,Y,2017-08-04,
41.0,57235,18 years,7,M,Engineering,Yes,2014-11-16,
30.0,39001,5 years,5,F,,,2020-12-12,Seattle
33.0,36162,10 years,8,F,Marketing,Yes,,
30.0,25282,10 years,2,Female,HR,Yes,2016-04-15,Austin
60.0,88832,38 years,5,Male,,Y,2020-08-29,Austin
30.0,27968,8 years,2,,HR,,2014-08-24,Austin
33.0,52583,10 years,2,M,Sales,Yes,2015-07-13,New York
49.0,82887,28 years,8,M,Marketing,Y,2014-01-06,Seattle
